label_id,gloss,test_samples,top1_accuracy,top3_accuracy,top5_accuracy
0,accident,2,0.0,0.5,0.5
1,africa,1,0.0,1.0,1.0
2,all,1,0.0,0.0,0.0
3,apple,2,0.5,0.5,1.0
4,basketball,2,0.0,0.5,0.5
5,bed,2,0.0,0.0,0.5
6,before,2,0.5,0.5,0.5
7,bird,2,1.0,1.0,1.0
8,birthday,1,1.0,1.0,1.0
9,black,2,0.0,0.5,0.5
10,blue,1,1.0,1.0,1.0
11,book,1,0.0,0.0,1.0
12,bowling,2,0.5,1.0,1.0
13,brown,1,1.0,1.0,1.0
14,but,1,0.0,1.0,1.0
15,can,1,1.0,1.0,1.0
16,candy,2,0.5,0.5,1.0
17,chair,1,0.0,1.0,1.0
18,change,2,1.0,1.0,1.0
19,cheat,2,0.5,1.0,1.0
20,city,1,0.0,1.0,1.0
21,clothes,1,0.0,1.0,1.0
22,color,1,0.0,1.0,1.0
23,computer,2,0.5,1.0,1.0
24,cook,1,1.0,1.0,1.0
25,cool,2,0.0,0.0,0.5
26,corn,2,0.0,0.0,0.0
27,cousin,2,1.0,1.0,1.0
28,cow,1,0.0,1.0,1.0
29,dance,1,1.0,1.0,1.0
30,dark,2,1.0,1.0,1.0
31,deaf,2,1.0,1.0,1.0
32,decide,1,1.0,1.0,1.0
33,doctor,2,0.0,0.0,0.5
34,dog,2,0.0,0.0,0.0
35,drink,2,1.0,1.0,1.0
36,eat,1,0.0,1.0,1.0
37,enjoy,1,1.0,1.0,1.0
38,family,2,1.0,1.0,1.0
39,fine,1,0.0,0.0,0.0
40,finish,1,1.0,1.0,1.0
41,fish,2,0.0,1.0,1.0
42,forget,1,0.0,0.0,0.0
43,full,2,1.0,1.0,1.0
44,give,2,0.5,1.0,1.0
45,go,2,1.0,1.0,1.0
46,graduate,2,0.0,0.5,0.5
47,hat,1,0.0,0.0,0.0
48,hearing,1,0.0,1.0,1.0
49,help,2,0.5,0.5,1.0
50,hot,2,0.0,0.5,1.0
51,how,1,0.0,1.0,1.0
52,jacket,1,1.0,1.0,1.0
53,kiss,1,1.0,1.0,1.0
54,language,2,0.5,1.0,1.0
55,last,2,0.0,0.5,0.5
56,later,2,1.0,1.0,1.0
57,letter,2,1.0,1.0,1.0
58,like,2,0.0,0.5,0.5
59,man,2,0.0,0.5,1.0
60,many,2,0.0,1.0,1.0
61,medicine,1,0.0,1.0,1.0
62,meet,1,1.0,1.0,1.0
63,mother,2,0.5,0.5,1.0
64,need,1,0.0,1.0,1.0
65,no,2,0.5,1.0,1.0
66,now,1,1.0,1.0,1.0
67,orange,2,0.5,0.5,1.0
68,paint,1,0.0,0.0,0.0
69,paper,1,1.0,1.0,1.0
70,pink,1,1.0,1.0,1.0
71,pizza,2,0.0,0.5,0.5
72,play,2,0.0,1.0,1.0
73,pull,1,0.0,0.0,0.0
74,purple,1,0.0,0.0,0.0
75,right,1,0.0,0.0,0.0
76,same,1,0.0,0.0,1.0
77,school,1,0.0,1.0,1.0
78,secretary,2,0.5,1.0,1.0
79,shirt,2,0.5,0.5,0.5
80,short,2,0.0,0.5,0.5
81,son,2,1.0,1.0,1.0
82,study,2,1.0,1.0,1.0
83,table,1,1.0,1.0,1.0
84,tall,2,0.5,0.5,0.5
85,tell,2,0.0,1.0,1.0
86,thanksgiving,2,0.0,1.0,1.0
87,thin,2,0.0,0.0,0.0
88,thursday,2,0.0,0.5,0.5
89,time,1,1.0,1.0,1.0
90,walk,2,0.5,1.0,1.0
91,want,1,1.0,1.0,1.0
92,what,2,1.0,1.0,1.0
93,white,2,0.5,0.5,1.0
94,who,2,0.0,0.5,0.5
95,woman,2,0.5,1.0,1.0
96,work,2,1.0,1.0,1.0
97,wrong,1,0.0,0.0,0.0
98,year,2,1.0,1.0,1.0
99,yes,2,0.0,0.0,0.0
