label_id,gloss,test_samples,top1_accuracy,top3_accuracy,top5_accuracy
0,about,1,0.0,0.0,0.0
1,accept,1,0.0,0.0,0.0
2,accident,2,0.0,0.0,0.0
3,across,1,0.0,0.0,0.0
4,actor,1,0.0,0.0,0.0
5,add,1,1.0,1.0,1.0
6,adult,1,0.0,1.0,1.0
7,africa,1,0.0,0.0,0.0
8,after,1,0.0,0.0,0.0
9,afternoon,1,0.0,0.0,0.0
10,again,1,1.0,1.0,1.0
11,age,1,0.0,0.0,0.0
12,ago,1,0.0,0.0,1.0
13,agree,1,0.0,1.0,1.0
14,airplane,1,1.0,1.0,1.0
15,alarm,1,0.0,0.0,0.0
16,all,1,0.0,1.0,1.0
17,allergy,1,0.0,0.0,0.0
18,allow,1,0.0,0.0,0.0
19,almost,1,0.0,0.0,0.0
20,alone,1,0.0,0.0,0.0
21,already,1,0.0,0.0,1.0
22,also,1,0.0,0.0,0.0
23,always,1,0.0,1.0,1.0
24,america,1,1.0,1.0,1.0
25,analyze,1,1.0,1.0,1.0
26,and,1,1.0,1.0,1.0
27,angel,1,0.0,1.0,1.0
28,angry,1,0.0,0.0,0.0
29,animal,1,1.0,1.0,1.0
30,announce,1,0.0,0.0,0.0
31,answer,1,0.0,0.0,1.0
32,any,1,0.0,0.0,0.0
33,apartment,1,0.0,1.0,1.0
34,appear,1,0.0,0.0,0.0
35,apple,2,0.0,0.0,0.0
36,appointment,2,0.0,0.0,0.5
37,approve,1,0.0,0.0,0.0
38,area,1,0.0,1.0,1.0
39,argue,2,0.5,1.0,1.0
40,arm,1,0.0,0.0,0.0
41,army,1,0.0,1.0,1.0
42,arrest,1,1.0,1.0,1.0
43,arrive,1,1.0,1.0,1.0
44,art,1,0.0,0.0,0.0
45,asia,1,1.0,1.0,1.0
46,ask,1,0.0,0.0,0.0
47,asl,1,0.0,0.0,0.0
48,attention,1,0.0,1.0,1.0
49,attitude,1,0.0,0.0,1.0
50,attract,1,1.0,1.0,1.0
51,audience,1,0.0,1.0,1.0
52,august,1,0.0,1.0,1.0
53,aunt,1,0.0,0.0,0.0
54,australia,1,1.0,1.0,1.0
55,autumn,1,1.0,1.0,1.0
56,avoid,1,0.0,0.0,0.0
57,away,1,1.0,1.0,1.0
58,awful,1,0.0,0.0,0.0
59,awkward,1,0.0,1.0,1.0
60,baby,1,1.0,1.0,1.0
61,back,1,0.0,0.0,0.0
62,backpack,1,0.0,0.0,0.0
63,bacon,1,1.0,1.0,1.0
64,bad,2,0.0,0.0,0.0
65,bake,1,1.0,1.0,1.0
66,balance,2,0.0,0.0,0.0
67,bald,1,0.0,0.0,0.0
68,ball,1,0.0,1.0,1.0
69,balloon,1,0.0,0.0,0.0
70,banana,1,0.0,1.0,1.0
71,bar,2,0.0,0.0,0.5
72,barely,1,0.0,1.0,1.0
73,bark,1,0.0,0.0,0.0
