confidence_threshold,coverage,top1_accuracy_on_confident_samples,top5_accuracy_on_confident_samples,num_confident_samples,model
0.2,0.4491444866920152,0.1566137566137566,0.4412698412698412,945,Light V2 Scratch
0.3,0.3212927756653992,0.1612426035502958,0.4778106508875739,676,Light V2 Scratch
0.4,0.2519011406844106,0.1716981132075471,0.5150943396226415,530,Light V2 Scratch
0.5,0.2015209125475285,0.1650943396226415,0.5330188679245284,424,Light V2 Scratch
0.6,0.1711026615969581,0.1611111111111111,0.5472222222222223,360,Light V2 Scratch
0.7,0.1454372623574144,0.1470588235294117,0.5392156862745098,306,Light V2 Scratch
0.8,0.1273764258555133,0.126865671641791,0.5298507462686567,268,Light V2 Scratch
0.9,0.1093155893536121,0.0913043478260869,0.5347826086956522,230,Light V2 Scratch
0.2,0.5674904942965779,0.2018425460636516,0.5452261306532663,1194,Light V2 Fine-tuned
0.3,0.4130228136882129,0.2209436133486766,0.5983889528193326,869,Light V2 Fine-tuned
0.4,0.3136882129277566,0.2212121212121212,0.6121212121212121,660,Light V2 Fine-tuned
0.5,0.245722433460076,0.2224371373307543,0.6266924564796905,517,Light V2 Fine-tuned
0.6,0.1991444866920152,0.1957040572792363,0.6109785202863962,419,Light V2 Fine-tuned
0.7,0.1592205323193916,0.1761194029850746,0.6268656716417911,335,Light V2 Fine-tuned
0.8,0.1368821292775665,0.1458333333333333,0.6180555555555556,288,Light V2 Fine-tuned
0.9,0.1045627376425855,0.1045454545454545,0.6090909090909091,220,Light V2 Fine-tuned
0.2,0.686787072243346,0.1190311418685121,0.3190311418685121,1445,Transformer
0.3,0.4529467680608365,0.1385099685204617,0.353620146904512,953,Transformer
0.4,0.3084600760456273,0.1432973805855161,0.3805855161787365,649,Transformer
0.5,0.2143536121673003,0.1419068736141907,0.3991130820399113,451,Transformer
0.6,0.1459125475285171,0.1530944625407166,0.4104234527687296,307,Transformer
0.7,0.0988593155893536,0.1394230769230769,0.4038461538461538,208,Transformer
0.8,0.057509505703422,0.0991735537190082,0.396694214876033,121,Transformer
0.9,0.0218631178707224,0.0869565217391304,0.4347826086956521,46,Transformer
